coltura,dicitura,bbch_min,bbch_max,verifica
ACTINIDIA,ad ingrossamento frutti,71,79,due_letture_concordi
ACTINIDIA,comparsa bottoni fiorali,51,55,due_letture_concordi
ACTINIDIA,da allegagione a ingrossamento frutti,69,79,due_letture_concordi
ACTINIDIA,da allegagione ad ingrossamento frutti,69,79,due_letture_concordi
ACTINIDIA,da bottone bianco a fioritura,57,69,due_letture_concordi
ACTINIDIA,da bottoni fiorali ad inizio fioritura,55,61,due_letture_concordi
ACTINIDIA,da bottoni fiorali ad inizio fioritura da bottone bianco a fioritura,55,69,due_letture_concordi
ACTINIDIA,da caduta petali ad ingrossamento frutti,67,79,due_letture_concordi
ACTINIDIA,da comparsa bottoni fiorali a inizio fioritura,51,61,due_letture_concordi
ACTINIDIA,da fioritura ad allegagione,60,69,arbitrato
ACTINIDIA,da fioritura ad ingrossamento frutti,60,79,due_letture_concordi
ACTINIDIA,da germogliamento a comparsa bottoni fiorali,7,55,due_letture_concordi
ACTINIDIA,fioritura,60,69,due_letture_concordi
ACTINIDIA,gemma ferma,0,0,due_letture_concordi
ACTINIDIA,gemma ferma (cv verdi); gemma cotonosa (cv gialle),0,5,due_letture_concordi
ACTINIDIA,gemma ferma (cv verdi); rigonfiamento gemme (cv gialle),0,3,due_letture_concordi
ACTINIDIA,germogliamento,7,9,due_letture_concordi
ACTINIDIA,ingrossamento frutti,71,79,due_letture_concordi
ACTINIDIA,ingrossamento gemme (cv verdi); gemma cotonosa (cv gialle),1,5,due_letture_concordi
ACTINIDIA,ingrossamento gemme (cv verdi); inizio germogliamento (cv gialle),1,7,due_letture_concordi
ACTINIDIA,inizio germogliamento,7,7,due_letture_concordi
ACTINIDIA,inizio germogliamento (cv verdi); 5 – 7 cm (cv gialle),7,33,due_letture_concordi
ACTINIDIA,verde: germogliamento; giallo: comparsa bottoni fiorali,7,55,due_letture_concordi
ALBICOCCO,accrescimento,71,79,due_letture_concordi
ALBICOCCO,accrescimento frutti,71,79,due_letture_concordi
ALBICOCCO,accrescimento frutti (indurimento nocciolo),71,79,due_letture_concordi
ALBICOCCO,accrescimento frutti – indurimento nocciolo,71,79,due_letture_concordi
ALBICOCCO,accrescimento frutto,71,79,due_letture_concordi
ALBICOCCO,accrescimento – maturazione,71,89,due_letture_concordi
ALBICOCCO,accrescimento – maturazione cv.precoci,71,89,due_letture_concordi
ALBICOCCO,allegagione,71,71,due_letture_concordi
ALBICOCCO,bottone rosso – fioritura,57,69,due_letture_concordi
ALBICOCCO,bottone rosso – inizio fioritura,57,61,due_letture_concordi
ALBICOCCO,caduta petali – scamiciatura,67,73,due_letture_concordi
ALBICOCCO,da accrescimento frutti a indurimento nocciolo,71,79,due_letture_concordi
ALBICOCCO,da accrescimento frutti a inizio maturazione,71,81,due_letture_concordi
ALBICOCCO,da accrescimento frutti a maturazione,71,89,due_letture_concordi
ALBICOCCO,da accrescimento frutti ad indurimento nocciolo,71,79,due_letture_concordi
ALBICOCCO,da accrescimento frutto a indurimento nocciolo,71,79,due_letture_concordi
ALBICOCCO,da bottone rosso a fioritura,57,69,due_letture_concordi
ALBICOCCO,da bottone rosso a inizio fioritura,57,61,due_letture_concordi
ALBICOCCO,da caduta petali a scamiciatura,67,73,due_letture_concordi
ALBICOCCO,da caduta petali ad scamiciatura,67,73,due_letture_concordi
ALBICOCCO,da fine fioritura a caduta petali,67,69,due_letture_concordi
ALBICOCCO,da fioritura a caduta petali,60,69,due_letture_concordi
ALBICOCCO,da gemma ferma a bottone rosso,0,57,due_letture_concordi
ALBICOCCO,da gemma ferma a inizio bottone rosso,0,57,due_letture_concordi
ALBICOCCO,da gemma ferma a inizio rigonfiamento gemme,0,51,due_letture_concordi
ALBICOCCO,da gemma ferma a rigonfiamento gemme,0,51,due_letture_concordi
ALBICOCCO,da gemma gonfia a bottone rosso,51,57,due_letture_concordi
ALBICOCCO,da gemma gonfia – bottone rosso,51,57,due_letture_concordi
ALBICOCCO,da indurimento nocciolo a inizio maturazione,75,81,due_letture_concordi
ALBICOCCO,da indurimento nocciolo a maturazione,75,89,due_letture_concordi
ALBICOCCO,da indurimento nocciolo ad inizio maturazione,75,81,due_letture_concordi
ALBICOCCO,da maturazione a post – raccolta,81,93,due_letture_concordi
ALBICOCCO,da rigonfiamento gemme a inizio bottone rosso,51,57,due_letture_concordi
ALBICOCCO,da scamiciatura a inizio accrescimento frutto,71,73,due_letture_concordi
ALBICOCCO,da scamiciatura ad accrescimento frutti,71,79,due_letture_concordi
ALBICOCCO,fine fioritura – caduta petali,67,69,due_letture_concordi
ALBICOCCO,fine fioritura – completa caduta petali,67,69,due_letture_concordi
ALBICOCCO,fioritura,60,69,due_letture_concordi
ALBICOCCO,fioritura – caduta petali,60,69,due_letture_concordi
ALBICOCCO,indurimento nocciolo,75,77,due_letture_concordi
ALBICOCCO,indurimento nocciolo – inizio maturazione cv.precoci,75,81,due_letture_concordi
ALBICOCCO,ingrossamento frutti,71,79,due_letture_concordi
ALBICOCCO,maturazione,81,89,due_letture_concordi
ALBICOCCO,post – raccolta,91,93,due_letture_concordi
ALBICOCCO,rigonfiamento gemma – bottone rosso,51,57,due_letture_concordi
ALBICOCCO,scamiciatura,72,73,due_letture_concordi
ALBICOCCO,scamiciatura – ingrossamento frutti,71,79,due_letture_concordi
CILIEGIO,accrescimento frutti,71,79,due_letture_concordi
CILIEGIO,accrescimento frutti – inizio maturazione cv. precocissime,71,81,due_letture_concordi
CILIEGIO,accrescimento frutto,71,79,due_letture_concordi
CILIEGIO,ad accrescimento frutti,71,79,due_letture_concordi
CILIEGIO,bottone bianco – fioritura,57,69,due_letture_concordi
CILIEGIO,bottone verde – bottone bianco,56,59,due_letture_concordi
CILIEGIO,caduta petali,67,69,due_letture_concordi
CILIEGIO,caduta petali – allegagione,67,71,due_letture_concordi
CILIEGIO,caduta petali – ingrossamento frutti,67,79,due_letture_concordi
CILIEGIO,da accrescimento frutti a inizio invaiatura,71,81,due_letture_concordi
CILIEGIO,da accrescimento frutti a inizio maturazione,71,81,due_letture_concordi
CILIEGIO,da accrescimento frutti a invaiatura,71,85,due_letture_concordi
CILIEGIO,da accrescimento frutti a maturazione,71,89,due_letture_concordi
CILIEGIO,da accrescimento frutti ad invaiatura,71,85,due_letture_concordi
CILIEGIO,da allegagione a inizio accrescimento frutto,71,72,due_letture_concordi
CILIEGIO,da allegagione ad accrescimento frutto,71,79,due_letture_concordi
CILIEGIO,da bottone bianco a fioritura,57,69,due_letture_concordi
CILIEGIO,da bottone bianco ad inizio fioritura,57,61,due_letture_concordi
CILIEGIO,da bottone bianco fioritura,57,69,due_letture_concordi
CILIEGIO,da bottone rosa a inizio apertura gemme,53,57,decisione_documentata
CILIEGIO,da bottone rosa ad apertura gemme,53,57,arbitrato
CILIEGIO,da bottone verde a bottone bianco,56,59,due_letture_concordi
CILIEGIO,da bottone verde a inizio fioritura,56,61,due_letture_concordi
CILIEGIO,da bottone verde ad inizio fioritura,56,61,due_letture_concordi
CILIEGIO,da bottoni rosa a inizio apertura gemme,53,57,decisione_documentata
CILIEGIO,da bottoni rosa ad apertura gemme,53,57,arbitrato
CILIEGIO,da caduta petali a ingrossamento frutti,67,79,due_letture_concordi
CILIEGIO,da caduta petali a scamiciatura accrescimento frutti,67,79,due_letture_concordi
CILIEGIO,da caduta petali ad accrescimento frutti,67,79,due_letture_concordi
CILIEGIO,da fioritura a caduta petali,60,69,due_letture_concordi
CILIEGIO,da fioritura ad allegagione,60,71,due_letture_concordi
CILIEGIO,da gemma gonfia a bottone bianco,51,59,due_letture_concordi
CILIEGIO,da invaiatura a maturazione,81,89,due_letture_concordi
CILIEGIO,da invaiatura frutti a maturazione,81,89,due_letture_concordi
CILIEGIO,da invaiatura maturazione,81,89,due_letture_concordi
CILIEGIO,da rigonfiamento gemme a inizio rottura gemme le varietà precoci,51,53,due_letture_concordi
