bollettino,riga,coltura,fase
Bollettino  07 del 24 marzo 2026 di Modena,1021,ALBICOCCO,caduta petali-scamiciatura
Bollettino  07 del 24 marzo 2026 di Modena,1083,CILIEGIO,bottone bianco- fioritura
Bollettino  07 del 24 marzo 2026 di Modena,1098,KAKI,germogliamento
Bollettino  07 del 24 marzo 2026 di Modena,1107,MELO,mazzetti affioranti-bottone rosa
Bollettino  07 del 24 marzo 2026 di Modena,1188,OLIVO,ripresa vegetativa
Bollettino  07 del 24 marzo 2026 di Modena,1213,PERO,mazzetti divaricati-fioritura
Bollettino  07 del 24 marzo 2026 di Modena,1287,PESCO,fioritura-caduta petali
Bollettino  07 del 24 marzo 2026 di Modena,1349,SUSINO_CINO_GIAPPONESE,caduta petali-allegagione
Bollettino  07 del 24 marzo 2026 di Modena,1369,SUSINO_EUROPEO,bottone bianco-fioritura
Bollettino  07 del 24 marzo 2026 di Modena,1389,VITE,gemma cotonosa-germogliamento
Bollettino  07 del 24 marzo 2026 di Modena,1462,BARBABIETOLA,cotiledoni-2 foglie vere
Bollettino  07 del 24 marzo 2026 di Modena,1520,COLZA,bottoni fiorali uniti-inizio fioritura
Bollettino  07 del 24 marzo 2026 di Modena,1564,ERBA_MEDICA,Medica in produzione: ripresa vegetativa; Medica nuovo impianto: pre-emergenza-emergenza
Bollettino  07 del 24 marzo 2026 di Modena,1618,FRUMENTO,levata
Bollettino  07 del 24 marzo 2026 di Modena,1843,GIRASOLE,pre semina
Bollettino  07 del 24 marzo 2026 di Modena,1863,MAIS,pre-semina-semina
Bollettino  07 del 24 marzo 2026 di Modena,1912,SORGO,Pre-semina
Bollettino  07 del 24 marzo 2026 di Modena,1959,ANGURIA,pre-trapianto-trapianto
Bollettino  07 del 24 marzo 2026 di Modena,1969,MELONE,pre-trapianto-trapianto
Bollettino  07 del 24 marzo 2026 di Modena,2672,ALBICOCCO,caduta petali-scamiciatura
Bollettino  07 del 24 marzo 2026 di Modena,2705,CILIEGIO,bottone bianco- fioritura
Bollettino  07 del 24 marzo 2026 di Modena,2712,KAKI,germogliamento
Bollettino  07 del 24 marzo 2026 di Modena,2721,MELO,mazzetti affioranti-bottone rosa
Bollettino  07 del 24 marzo 2026 di Modena,2763,OLIVO,ripresa vegetativa
Bollettino  07 del 24 marzo 2026 di Modena,2788,PERO,mazzetti divaricati- fioritura
Bollettino  07 del 24 marzo 2026 di Modena,2828,PESCO,fioritura-inizio caduta petali
Bollettino  07 del 24 marzo 2026 di Modena,2864,SUSINO_CINO_GIAPPONESE,caduta petali-allegagione
Bollettino  07 del 24 marzo 2026 di Modena,2883,SUSINO_EUROPEO,bottone bianco-fioritura
Bollettino  07 del 24 marzo 2026 di Modena,2910,VITE,gemma cotonosa-germogliamento
Bollettino  07 del 24 marzo 2026 di Modena,2966,FRUMENTO,levata
Bollettino  07 del 24 marzo 2026 di Modena,2976,BARBABIETOLA,cotiledoni-2 foglie vere
Bollettino  07 del 24 marzo 2026 di Modena,2994,ERBA_MEDICA,impianti vecchi ripresa vegetativa -impianti nuovi pre-emergenza -emergenza
Bollettino  07 del 24 marzo 2026 di Modena,3011,GIRASOLE,pre-semina
Bollettino  07 del 24 marzo 2026 di Modena,3045,ANGURIA,pre-trapianto-trapianto
Bollettino  07 del 24 marzo 2026 di Modena,3049,MELONE,pre-trapianto-trapianto
