cls,livello,famiglia,nome_latino,n_fonti_danno,evidenze
ABETE,non_classificabile,seminaturale,Abies,0,N:BERGMANN2016
ACERO,non_classificabile,seminaturale,Acer,0,"B:BERGMANN2016,ER_NOTE2023,MAISTRELLO2017; A:EPPO2026,STOPBMSB"
ACHILLEA,non_ospite,erbacea,Achillea millefolium,0,
ACTINIDIA (KIWI),principale,permanente,Actinidia deliciosa,4,"C:BARISELLI2016,CONSORZIO_PC,ER_NOTE2023,ER_SCHEDA2025; B:TAMBURINI2023; A:EPPO2026"
AGAPANTO,non_ospite,erbacea,Agapanthus,0,
AGLIO,non_ospite,erbacea,Allium sativum,0,
AGLIONE,non_ospite,erbacea,Allium ampeloprasum,0,
AGRETTO,non_ospite,erbacea,Salsola soda,0,
AGRUMI,non_ospite,permanente,Citrus,0,
ALBERI IN FILARE,non_classificabile,seminaturale,,0,
ALBERI ISOLATI,non_classificabile,seminaturale,,0,
ALBICOCCO,secondario,permanente,Prunus armeniaca,1,"C:ER_NOTE2023; B:BERGMANN2016,MAISTRELLO2017; H:ER_SCHEDA2025; A:EPPO2026,STOPBMSB"
ALCHECHENGI,non_ospite,erbacea,Physalis alkekengi,0,
ALLORO,non_ospite,permanente,Laurus nobilis,0,
ALOE,non_ospite,erbacea,Aloe vera,0,
AMARANTO,secondario,erbacea,Amaranthus,0,"A:EPPO2026,STOPBMSB"
ANETO,non_ospite,erbacea,Anethum graveolens,0,
ARACHIDE,non_ospite,erbacea,Arachis hypogaea,0,
ARBORETO CONSOCIABILE (CON COLTIVAZIONI ERBACEE),non_classificabile,permanente,,0,
ARBORICOLTURA,non_classificabile,seminaturale,,0,
AREA A SEMINATIVO DEDICATA ALL'ELICICOLTURA,non_classificabile,erbacea,,0,
ARNICA,non_ospite,erbacea,Arnica montana,0,
ARONIA NERA,non_ospite,permanente,Aronia melanocarpa,0,
ARTEMISIA,non_ospite,erbacea,Artemisia,0,
ARUNDO DONAX,non_ospite,permanente,Arundo donax,0,
ASPARAGO,secondario,erbacea,Asparagus officinalis,0,H:CONSORZIO_PC; A:EPPO2026
AVENA,non_ospite,erbacea,Avena sativa,0,
BABY LEAF,non_classificabile,erbacea,,0,
BAMBU,non_ospite,permanente,Phyllostachys,0,
BAMBU GIGANTE,non_ospite,permanente,Phyllostachys edulis,0,
BANANO DEL NORD,secondario,permanente,Asimina triloba,0,"A:EPPO2026,STOPBMSB"
BARBABIETOLA - RAPA ROSSA/BIETOLA DA COSTA,secondario,erbacea,Beta vulgaris,0,"A:EPPO2026,STOPBMSB"
BARDANA,secondario,erbacea,Arctium lappa,0,"A:EPPO2026,STOPBMSB"
