area,data,coltura,bbch_min,bbch_max,fasi
Bologna e Ferrara,2026-02-04,ACTINIDIA,0,0,gemma ferma
Bologna e Ferrara,2026-02-04,ALBICOCCO,0,51,da gemma ferma a rigonfiamento gemme
Bologna e Ferrara,2026-02-04,PESCO,0,3,da gemma ferma a inizio rottura gemma a legno
Bologna e Ferrara,2026-02-04,SUSINO_CINO_GIAPPONESE,0,51,da gemma ferma a rigonfiamento gemme
Bologna e Ferrara,2026-02-18,ACTINIDIA,0,0,gemma ferma
Bologna e Ferrara,2026-02-18,ALBICOCCO,51,57,da gemma gonfia a bottone rosso
Bologna e Ferrara,2026-02-18,MAIS,0,0,pre-semina
Bologna e Ferrara,2026-02-18,MELO,0,51,da gemma ferma a inizio rigonfiamento gemme
Bologna e Ferrara,2026-02-18,PERO,0,51,da gemma ferma a inizio rigonfiamento gemme
Bologna e Ferrara,2026-02-18,PESCO,0,3,da gemma ferma a inizio rottura gemma a legno
Bologna e Ferrara,2026-02-18,SUSINO_CINO_GIAPPONESE,51,56,da gemma gonfia a bottone verde
Bologna e Ferrara,2026-02-18,VITE,0,0,gemma ferma
Bologna e Ferrara,2026-02-25,ACTINIDIA,0,3,gemma ferma (cv verdi); rigonfiamento gemme (cv gialle)
Bologna e Ferrara,2026-02-25,ALBICOCCO,57,61,da bottone rosso a inizio fioritura
Bologna e Ferrara,2026-02-25,CILIEGIO,51,51,rigonfiamento gemme
Bologna e Ferrara,2026-02-25,MAIS,0,0,pre-semina
Bologna e Ferrara,2026-02-25,MELO,51,52,rigonfiamento gemme
Bologna e Ferrara,2026-02-25,PERO,51,52,ingrossamento gemme
Bologna e Ferrara,2026-02-25,PESCO,3,57,da rottura gemma a legno a bottone rosa
Bologna e Ferrara,2026-02-25,SUSINO_CINO_GIAPPONESE,56,59,da bottone verde a bottone bianco
Bologna e Ferrara,2026-02-25,SUSINO_EUROPEO,51,51,Inizio rigonfiamento gemme
Bologna e Ferrara,2026-02-25,VITE,0,0,gemma ferma
Bologna e Ferrara,2026-03-04,ACTINIDIA,0,5,gemma ferma (cv verdi); gemma cotonosa (cv gialle)
Bologna e Ferrara,2026-03-04,ALBICOCCO,57,69,da bottone rosso a fioritura
Bologna e Ferrara,2026-03-04,CILIEGIO,51,53,da rigonfiamento gemme a inizio rottura gemme le varietà precoci
Bologna e Ferrara,2026-03-04,KAKI,0,3,da gemma ferma a gemma ingrossata
Bologna e Ferrara,2026-03-04,MAIS,0,0,pre-semina
Bologna e Ferrara,2026-03-04,MELO,51,53,da rigonfiamento gemme a punte verdi
Bologna e Ferrara,2026-03-04,PERO,51,53,da ingrossamento gemme a rottura gemme
Bologna e Ferrara,2026-03-04,PESCO,57,61,da bottone rosa a inizio fioritura
Bologna e Ferrara,2026-03-04,SUSINO_CINO_GIAPPONESE,57,61,da bottone bianco a inizio fioritura
