date,temp_mean,temp_min,temp_max,temp_dew_mean,prec_sum,wind_10m_mean,rh_mean,lw_hours,site,forecast_base
2026-01-20,0.9241667,-1.78,2.29,-1.6679167,0.67,1.5408334,82.93667,3,modena,2026-01-20
2026-01-21,0.99500006,-1.92,3.9,-3.6129167,0.0,0.8966667,72.04417,0,modena,2026-01-20
2026-01-22,2.2783334,-0.83,6.1,-2.774583,0.0,0.54041666,69.989586,0,modena,2026-01-20
2026-01-23,1.413,-0.84,3.48,-0.37649998,4.68,0.5525,87.960495,9,modena,2026-01-20
2026-01-24,3.70125,2.32,6.46,2.27875,3.1399999999999997,1.2262499,90.875,7,modena,2026-01-20
2026-01-25,4.1375,1.21,7.87,2.29125,10.55,1.055,88.545,6,modena,2026-01-20
2026-01-26,2.355,1.24,4.79,1.0975,0.95,1.0075,91.625,3,modena,2026-01-20
2026-01-27,1.6774999,-1.55,7.39,-1.46,0.01,1.1125,81.432495,2,modena,2026-01-20
2026-01-28,0.665,-1.09,2.24,-0.08499999,8.68,0.9175,94.72,3,modena,2026-01-20
2026-01-29,1.7974999,-0.88,4.5,0.165,0.5700000000000001,0.885,89.3925,3,modena,2026-01-20
2026-01-30,1.19,1.19,1.19,0.04,0.01,1.13,92.05,1,modena,2026-01-20
