date,temp_mean,temp_min,temp_max,temp_dew_mean,prec_sum,wind_10m_mean,rh_mean,lw_hours,site,forecast_base
2026-01-20,1.3120834,-1.47,3.48,-3.6091669,0.05,1.6708332,70.090416,0,piacenza,2026-01-20
2026-01-21,0.35375,-2.36,5.37,-4.6,0.0,0.83874995,70.104164,0,piacenza,2026-01-20
2026-01-22,1.0925001,-1.28,6.06,-4.1929164,0.0,0.48291668,68.55375,0,piacenza,2026-01-20
2026-01-23,0.6455,-0.68,1.35,-0.46350002,8.9,0.8085,92.4555,14,piacenza,2026-01-20
2026-01-24,0.8875,-0.87,2.71,-0.10625001,6.05,1.2225,93.2025,7,piacenza,2026-01-20
2026-01-25,2.07375,0.12,4.31,0.93874997,9.459999999999999,0.77,92.42125,8,piacenza,2026-01-20
2026-01-26,1.6075,0.39,5.04,0.054999977,0.85,0.59749997,89.979996,2,piacenza,2026-01-20
2026-01-27,0.255,-2.95,6.2,-3.065,0.0,0.9125,79.712494,1,piacenza,2026-01-20
2026-01-28,0.81,-0.2,2.21,-0.23249999,2.34,0.5675,92.75,3,piacenza,2026-01-20
2026-01-29,-0.14999998,-3.06,3.44,-1.54,0.0,0.71500003,90.7525,2,piacenza,2026-01-20
2026-01-30,-2.44,-2.44,-2.44,-3.18,0.0,0.03,94.69,1,piacenza,2026-01-20
