date,temp_mean,temp_min,temp_max,temp_dew_mean,prec_sum,wind_10m_mean,rh_mean,lw_hours,site,forecast_base
2026-01-20,1.7020832,-1.44,3.46,-1.5979166,0.68,1.92,78.88625,0,bologna,2026-01-20
2026-01-21,1.26625,-1.79,4.75,-3.2608335,0.0,1.0941666,72.51458,0,bologna,2026-01-20
2026-01-22,2.6820834,-0.62,6.52,-2.2970834,0.02,0.67249995,70.39958,0,bologna,2026-01-20
2026-01-23,1.9129999,-0.83,4.47,-0.17199999,3.95,0.666,86.202,7,bologna,2026-01-20
2026-01-24,4.38125,2.96,7.02,2.8775,2.83,1.35875,90.33375,6,bologna,2026-01-20
2026-01-25,5.0950003,2.17,8.59,3.0362499,10.52,1.0074999,87.3075,6,bologna,2026-01-20
2026-01-26,3.0,1.49,5.64,1.6850001,1.6199999999999999,1.2524999,91.3375,3,bologna,2026-01-20
2026-01-27,2.3575,-0.83,7.9,-0.57,0.01,1.3775,82.535,1,bologna,2026-01-20
2026-01-28,1.3900001,-0.29,3.24,0.42000002,8.03,0.6125,93.2675,3,bologna,2026-01-20
2026-01-29,2.775,0.22,5.54,0.98,1.1400000000000001,1.0649999,88.515,3,bologna,2026-01-20
2026-01-30,1.65,1.65,1.65,0.46,0.01,1.4,91.78,1,bologna,2026-01-20
