date,temp_mean,temp_min,temp_max,temp_dew_mean,prec_sum,wind_10m_mean,rh_mean,lw_hours,site,forecast_base
2026-01-20,3.4445832,0.08,5.83,-0.8691667,0.01,2.8025,73.70583,0,ferrara,2026-01-20
2026-01-21,2.41625,-1.34,6.45,-1.7658334,0.0,1.6429167,74.84583,0,ferrara,2026-01-20
2026-01-22,3.6841667,0.87,7.05,-0.97333336,0.08,1.1791667,71.98542,0,ferrara,2026-01-20
2026-01-23,3.1299999,-0.34,6.32,0.5355,3.63,1.2125,83.4325,5,ferrara,2026-01-20
2026-01-24,5.7875,4.12,8.29,4.06875,2.76,1.92,89.09625,6,ferrara,2026-01-20
2026-01-25,6.70125,4.59,9.17,4.5575,11.040000000000001,1.69875,86.765,6,ferrara,2026-01-20
2026-01-26,4.6025,2.58,7.51,2.875,2.45,1.7025,88.915,3,ferrara,2026-01-20
2026-01-27,3.6075,0.43,8.62,1.0024999,0.0,1.9425,84.22,2,ferrara,2026-01-20
2026-01-28,2.9899998,0.96,4.89,1.8675001,5.35,0.805,92.345,4,ferrara,2026-01-20
2026-01-29,4.475,1.98,7.25,2.32,1.3900000000000001,2.0349998,86.6025,3,ferrara,2026-01-20
2026-01-30,2.23,2.23,2.23,1.08,0.0,2.27,92.1,1,ferrara,2026-01-20
