date,temp_mean,temp_min,temp_max,temp_dew_mean,prec_sum,wind_10m_mean,rh_mean,lw_hours,site,forecast_base
2026-01-20,3.6929166,0.9,5.33,2.0233333,5.319999999999999,2.5954168,88.825005,20,forli_cesena,2026-01-20
2026-01-21,1.6979166,0.22,3.23,-1.2245833,0.37,1.5083333,80.91458,0,forli_cesena,2026-01-20
2026-01-22,2.51,-1.0,6.36,-1.6729168,0.04,0.885,74.753746,0,forli_cesena,2026-01-20
2026-01-23,2.752,-1.08,6.69,1.1274999,3.1999999999999997,1.089,89.292,8,forli_cesena,2026-01-20
2026-01-24,5.66125,4.55,8.03,4.17125,2.5300000000000002,1.64,90.505,6,forli_cesena,2026-01-20
2026-01-25,5.4900002,2.19,9.02,2.86625,7.95,1.9325,84.32,5,forli_cesena,2026-01-20
2026-01-26,3.02,1.79,4.63,2.065,1.01,1.5074999,93.5075,4,forli_cesena,2026-01-20
2026-01-27,3.085,0.63,7.18,0.047499985,0.72,1.7525,81.74,2,forli_cesena,2026-01-20
2026-01-28,2.1075,0.83,3.98,0.3725,10.11,1.69,88.4575,2,forli_cesena,2026-01-20
2026-01-29,2.845,1.13,5.19,1.2950001,3.68,1.4575,89.9275,3,forli_cesena,2026-01-20
2026-01-30,3.25,3.25,3.25,2.24,0.06,1.1,93.08,1,forli_cesena,2026-01-20
