date,temp_mean,temp_min,temp_max,temp_dew_mean,prec_sum,wind_10m_mean,rh_mean,lw_hours,site,forecast_base
2026-01-20,0.83375,-1.9,2.49,-2.6645834,0.18,1.17375,77.58708,0,parma,2026-01-20
2026-01-21,0.40583333,-2.38,4.55,-4.3375,0.0,0.59125,71.25,0,parma,2026-01-20
2026-01-22,1.5487499,-0.97,6.09,-3.8945835,0.0,0.51,68.005,0,parma,2026-01-20
2026-01-23,0.818,-0.57,1.62,-0.559,8.08,0.686,90.653,13,parma,2026-01-20
2026-01-24,1.8175,0.41,4.15,0.6975,3.98,1.00875,92.49,7,parma,2026-01-20
2026-01-25,2.6725001,0.56,5.52,1.4325,9.64,0.67625,91.85375,7,parma,2026-01-20
2026-01-26,1.7925,0.44,4.64,0.3925,1.3399999999999999,0.6825,90.8275,3,parma,2026-01-20
2026-01-27,0.45999995,-2.77,6.7,-2.7825,0.0,0.8275,80.2175,1,parma,2026-01-20
2026-01-28,0.6425,-0.53,2.12,-0.19000001,5.9399999999999995,0.62,94.1625,3,parma,2026-01-20
2026-01-29,0.34,-3.26,3.65,-1.15,0.02,0.565,90.13,3,parma,2026-01-20
2026-01-30,-1.15,-1.15,-1.15,-1.9,0.0,0.45,94.66,1,parma,2026-01-20
