date,temp_mean,temp_min,temp_max,temp_dew_mean,prec_sum,wind_10m_mean,rh_mean,lw_hours,site,forecast_base
2026-01-20,4.8316665,1.58,6.65,1.67875,1.52,3.2479165,80.065,0,ravenna,2026-01-20
2026-01-21,2.9558334,0.32,5.73,-0.99875003,0.03,2.3558333,75.38084,0,ravenna,2026-01-20
2026-01-22,3.7429168,0.32,6.88,-1.5495833,0.060000000000000005,1.4133334,68.93625,0,ravenna,2026-01-20
2026-01-23,3.4255002,-0.07,6.85,1.0699999,2.81,0.97650003,84.872,7,ravenna,2026-01-20
2026-01-24,5.75125,3.99,7.52,4.42625,1.8099999999999998,1.9625,91.37125,7,ravenna,2026-01-20
2026-01-25,6.85625,4.72,9.78,4.64,7.9399999999999995,1.725,86.3475,5,ravenna,2026-01-20
2026-01-26,4.82,3.46,6.46,3.32,1.97,2.205,90.135,4,ravenna,2026-01-20
2026-01-27,4.2625,1.59,8.36,1.4575,0.01,2.4125,82.8875,2,ravenna,2026-01-20
2026-01-28,3.0700002,1.38,4.71,1.655,8.32,1.65,90.465004,3,ravenna,2026-01-20
2026-01-29,4.74,3.11,6.75,2.5974998,3.04,2.2,86.4825,3,ravenna,2026-01-20
2026-01-30,4.64,4.64,4.64,2.74,0.02,2.39,87.45,1,ravenna,2026-01-20
