date,temp_mean,temp_min,temp_max,temp_dew_mean,prec_sum,wind_10m_mean,rh_mean,lw_hours,site,forecast_base
2026-01-20,1.225,-1.95,2.93,-2.2416666,0.23,0.80791664,77.871666,0,reggio_nell_emilia,2026-01-20
2026-01-21,1.0970833,-2.44,4.76,-3.3879166,0.0,0.565,72.965004,0,reggio_nell_emilia,2026-01-20
2026-01-22,2.3675,-1.0,6.43,-2.6825,0.0,0.5775,70.160835,0,reggio_nell_emilia,2026-01-20
2026-01-23,0.95,-0.96,2.19,-0.639,4.45,0.6035,89.151505,12,reggio_nell_emilia,2026-01-20
2026-01-24,2.8575,1.36,5.03,1.6075001,1.4300000000000002,1.13125,91.7,7,reggio_nell_emilia,2026-01-20
2026-01-25,4.11375,1.79,7.76,2.49375,9.75,0.68875,89.72875,7,reggio_nell_emilia,2026-01-20
2026-01-26,2.66,1.62,5.36,1.2475,1.45,0.885,90.7875,3,reggio_nell_emilia,2026-01-20
2026-01-27,1.71,-1.81,7.81,-1.4925001,0.0,0.9625,80.785,0,reggio_nell_emilia,2026-01-20
2026-01-28,0.62,-1.29,2.36,-0.20249999,6.3100000000000005,0.6825,94.195,3,reggio_nell_emilia,2026-01-20
2026-01-29,1.855,-1.14,4.38,0.2625,0.07,0.7,89.525,3,reggio_nell_emilia,2026-01-20
2026-01-30,1.03,1.03,1.03,0.02,0.0,0.57,92.93,1,reggio_nell_emilia,2026-01-20
