date,temp_mean,temp_min,temp_max,temp_dew_mean,prec_sum,wind_10m_mean,rh_mean,lw_hours,site,forecast_base
2026-01-20,6.9691663,2.92,8.09,3.9754164,4.37,3.50125,81.24375,8,rimini,2026-01-20
2026-01-21,3.5416667,2.16,5.05,0.41375002,0.59,3.2029169,79.98625,0,rimini,2026-01-20
2026-01-22,3.88,0.11,6.68,-0.9566667,0.12,2.1608334,71.57875,4,rimini,2026-01-20
2026-01-23,4.085,0.02,7.51,2.3834999,3.7800000000000002,1.6159999,88.859,18,rimini,2026-01-20
2026-01-24,7.03,5.9,7.88,5.52375,1.75,2.3925,90.19375,8,rimini,2026-01-20
2026-01-25,7.33875,4.58,10.93,4.3125,6.84,2.2525,82.12625,5,rimini,2026-01-20
2026-01-26,4.7225,3.16,6.43,3.21,0.48,2.655,89.98,4,rimini,2026-01-20
2026-01-27,4.8275,2.65,8.0,1.875,0.36,2.98,81.89,2,rimini,2026-01-20
2026-01-28,3.8674998,2.0,6.46,1.5725,6.32,2.1525002,85.0375,2,rimini,2026-01-20
2026-01-29,4.6625,2.84,6.55,2.7025,3.7199999999999998,2.5675,87.38,3,rimini,2026-01-20
2026-01-30,5.56,5.56,5.56,3.83,0.1,1.3,88.6,1,rimini,2026-01-20
